DR2Name,_x,_y,RA_ICRS,DE_ICRS,Plx,e_Plx,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,e_Gmag,BP-RP,e_BP-RP,prob0,probs_final
Gaia DR2 5289857544830152704,-0.229005,-1.067212,119.03180609318,-61.81966988815,2.3485,0.2285,-4.125,0.692,11.566,0.508,18.172234894376924,0.0028809787154335225,2.710241759285406,0.04978973279071981,1.0,1.0
Gaia DR2 5289859606418009344,-0.169253,-1.002841,119.15907166756,-61.75568497162,2.4878,0.0205,-4.769,0.047,11.314,0.037,14.474238369374365,0.0018454381557255631,1.3063921894472,0.003280370362532065,1.0,1.0
Gaia DR2 5289860396691983616,-0.275284,-1.089842,118.93338887091,-61.84192148567,2.4996,0.1117,-3.414,0.351,11.222,0.246,17.83273929117788,0.002362605219649917,2.5631498487696867,0.022379246041448954,1.0,1.0
Gaia DR2 5289862011599570048,-0.280366,-0.972267,118.92488099291,-61.72430598783,2.3717,0.0428,-4.927,0.099,11.371,0.087,16.255763266589344,0.00209515259758017,1.9508037078022262,0.00793265652513691,1.0,1.0
Gaia DR2 5289862423916490240,-0.262103,-0.938483,118.96403474148,-61.69068308902,1.77,0.0469,-4.8,0.103,10.126,0.102,16.352981172874408,0.0019290466482342029,1.6974662552514115,0.005753750249101485,1.0,1.0
Gaia DR2 5289864515563819008,-0.176276,-0.874451,119.14577335924,-61.62725818012,2.5036,0.0628,-3.867,0.142,10.698,0.142,17.194853644121633,0.0020377883943998275,2.5308006743139124,0.017876583292823163,1.0,1.0
Gaia DR2 5289864726018908544,-0.153817,-0.829434,119.19350058864,-61.58236060632,2.3771,0.0547,-4.269,0.117,10.779,0.106,16.926271737970257,0.0022801016195435663,2.1910617762194686,0.011734429321133492,1.0,1.0
Gaia DR2 5289865481933559936,0.113463,-1.107873,119.75727802632,-61.86097069692,2.3591,0.0286,-4.579,0.06,10.782,0.053,15.454670682472674,0.001900534981509186,1.581250293046697,0.004045834141508156,1.0,1.0
Gaia DR2 5289868677389165952,0.175184,-0.97757,119.88657261973,-61.73038131516,2.4309,0.083,-4.731,0.218,11.04,0.157,17.680817782463226,0.002071375810040797,2.478481441523659,0.024587810029714857,1.0,1.0
Gaia DR2 5289870051778619776,0.04642,-1.007056,119.61480743381,-61.76032724101,2.3527,0.0548,-4.845,0.142,11.319,0.102,16.646607518281048,0.001967415283134447,2.1754944380437102,0.007937622922415111,1.0,1.0
Gaia DR2 5289872972356315520,0.076436,-0.884846,119.67760602546,-61.63805824159,2.4012,0.0176,-4.471,0.038,11.719,0.033,14.170862139049527,0.00188974154220411,1.2062923690432932,0.00413049350547542,1.0,1.0
