# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290818758516639104" 4.19872 2.18036 4.33765 0.20488 4.33786 0.20503 0.70
"Gaia DR2 5290743648127929856" 5.14812 1.67694 4.33390 0.20392 4.33109 0.20201 0.89
"Gaia DR2 5290767631226220032" 5.79901 -0.10373 4.12253 0.20178 4.12160 0.20131 0.68
"Gaia DR2 5290847861214655616" 6.26271 -0.03224 4.12187 0.20148 4.11976 0.20133 0.71
"Gaia DR2 5290720867621791872" 6.29763 1.42790 4.25609 0.15338 4.16337 0.18248 0.67
"Gaia DR2 5290671733195996416" 6.81727 0.05900 4.11049 0.18653 4.02015 0.14966 0.65
"Gaia DR2 5290673794780227072" 7.10082 0.01924 4.04167 0.14657 3.80087 0.13646 0.59
"Gaia DR2 5290721176859357952" 7.16276 0.15892 4.01004 0.15160 3.92642 0.13759 0.44
"Gaia DR2 5290820682661822848" 7.57388 -0.01537 3.84173 0.13178 3.50565 0.12693 0.51
"Gaia DR2 5290795187736645632" 7.63591 0.01433 3.81345 0.12817 3.47968 0.13128 0.49
"Gaia DR2 5290724922070754432" 7.67674 0.10937 3.79534 0.12551 3.60319 0.11920 0.52
"Gaia DR2 5290702279003050496" 7.79665 0.09061 3.73458 0.11872 3.49312 0.13747 0.57
"Gaia DR2 5290816422049739008" 7.81304 0.11098 3.72606 0.11765 3.50341 0.12409 0.56
"Gaia DR2 5290673897859442304" 7.94717 0.09348 3.65242 0.10960 3.37857 0.12254 0.61
"Gaia DR2 5290739387520374912" 8.04110 -0.00549 3.59778 0.10463 3.25508 0.13479 0.41
"Gaia DR2 5289613208437434240" 8.07509 0.04434 3.57716 0.10244 3.24860 0.13861 0.35
"Gaia DR2 5290662383047290496" 8.13501 0.09468 3.54040 0.09862 3.22505 0.12225 0.66
"Gaia DR2 5290673760420486656" 8.17781 0.08239 3.51375 0.09612 3.18738 0.12806 0.58
