# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290818758516639104" 4.19872 2.18036 4.10938 0.31728 4.10941 0.31725 0.65
"Gaia DR2 5290743648127929856" 5.14812 1.67694 4.10635 0.31603 4.10093 0.31035 0.84
"Gaia DR2 5290767631226220032" 5.79901 -0.10373 3.89592 0.31349 3.89529 0.31291 0.67
"Gaia DR2 5290847861214655616" 6.26271 -0.03224 3.89547 0.31315 3.89352 0.31220 0.72
"Gaia DR2 5290720867621791872" 6.29763 1.42790 4.06033 0.26869 3.95605 0.29339 0.78
"Gaia DR2 5290671733195996416" 6.81727 0.05900 3.88228 0.29411 3.83667 0.25394 0.69
"Gaia DR2 5290673794780227072" 7.10082 0.01924 3.83826 0.25347 3.66261 0.19248 0.57
"Gaia DR2 5290721176859357952" 7.16276 0.15892 3.81361 0.24617 3.73822 0.21772 0.48
"Gaia DR2 5290820682661822848" 7.57388 -0.01537 3.66830 0.20407 3.39919 0.17171 0.52
"Gaia DR2 5290795187736645632" 7.63591 0.01433 3.64185 0.20007 3.38045 0.18129 0.52
"Gaia DR2 5290724922070754432" 7.67674 0.10937 3.62516 0.19751 3.45158 0.18567 0.53
"Gaia DR2 5290702279003050496" 7.79665 0.09061 3.56955 0.18800 3.35068 0.17329 0.55
"Gaia DR2 5290816422049739008" 7.81304 0.11098 3.56201 0.18633 3.35695 0.16488 0.54
"Gaia DR2 5290673897859442304" 7.94717 0.09348 3.49550 0.17435 3.24630 0.15278 0.57
"Gaia DR2 5290739387520374912" 8.04110 -0.00549 3.44569 0.16651 3.13588 0.16213 0.43
"Gaia DR2 5289613208437434240" 8.07509 0.04434 3.42753 0.16291 3.12208 0.15991 0.43
"Gaia DR2 5290662383047290496" 8.13501 0.09468 3.39447 0.15691 3.10190 0.14086 0.58
"Gaia DR2 5290673760420486656" 8.17781 0.08239 3.37030 0.15311 3.06699 0.14516 0.53
"Gaia DR2 5290024533163062144" 8.26253 -0.00770 3.32148 0.14638 2.99505 0.15660 0.40
"Gaia DR2 5290722929205920640" 8.31543 0.06321 3.28961 0.14084 2.96083 0.15223 0.42
"Gaia DR2 5290832364972775808" 8.34036 0.00861 3.27493 0.13937 2.93247 0.15425 0.37
"Gaia DR2 5289877744061776896" 8.35180 0.05593 3.26759 0.13761 2.93496 0.14781 0.38
"Gaia DR2 5290818586713364352" 8.35876 0.08421 3.26278 0.13690 2.93260 0.14205 0.50
"Gaia DR2 5290769211774211968" 8.36205 0.04842 3.26118 0.13667 2.92174 0.15076 0.36
"Gaia DR2 5290722860486442752" 8.48378 0.12984 3.18393 0.12578 2.85266 0.12459 0.66
"Gaia DR2 5290814768486344320" 8.53027 0.10767 3.15439 0.12204 2.81339 0.12734 0.57
"Gaia DR2 5290795187732777088" 8.53327 0.22883 3.14989 0.12065 2.83903 0.10805 0.59
"Gaia DR2 5290669774690987776" 8.73543 0.17354 3.01677 0.10607 2.66992 0.12313 0.71
"Gaia DR2 5290718737318003840" 8.75936 0.15102 3.00138 0.10449 2.65267 0.12215 0.71
"Gaia DR2 5290816009737675392" 8.76070 0.05321 3.00345 0.10509 2.63265 0.13041 0.28
"Gaia DR2 5290722929205920896" 8.76551 0.12591 2.99794 0.10432 2.64266 0.12421 0.59
