# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290949669118299776" 8.84866 0.04139 2.94471 0.09953 2.57161 0.12139 0.28
"Gaia DR2 5290723891278514048" 8.89275 0.11205 2.91200 0.09602 2.53868 0.11989 0.41
"Gaia DR2 5290706711409106304" 8.89389 0.14035 2.90985 0.09589 2.54385 0.11815 0.62
"Gaia DR2 5290720455304928512" 8.98401 0.17813 2.84559 0.09044 2.48194 0.11574 0.75
"Gaia DR2 5289743779740249728" 9.03882 0.16926 2.80823 0.08761 2.43202 0.11202 0.72
"Gaia DR2 5290767150189898496" 9.05742 0.08259 2.79952 0.08713 2.39416 0.11273 0.23
"Gaia DR2 5290696128609865600" 9.06159 0.12289 2.79447 0.08647 2.39556 0.11456 0.36
"Gaia DR2 5290882564550310016" 9.14871 0.13871 2.73330 0.08234 2.32627 0.10087 0.41
"Gaia DR2 5290738562881739648" 9.16021 0.15109 2.72469 0.08167 2.32399 0.10239 0.50
"Gaia DR2 5289732784624068736" 9.19104 0.16077 2.70256 0.08020 2.30405 0.09551 0.55
"Gaia DR2 5289938290220478848" 9.24301 0.14708 2.66712 0.07833 2.26755 0.09385 0.38
"Gaia DR2 5290723135364356736" 9.24458 0.21184 2.66239 0.07773 2.30276 0.10259 0.80
"Gaia DR2 5289876270891357824" 9.26558 0.18508 2.64920 0.07714 2.26876 0.09515 0.66
"Gaia DR2 5290657336465950976" 9.33183 0.12867 2.60678 0.07446 2.21779 0.08437 0.22
"Gaia DR2 5290859406087169152" 9.34732 0.15264 2.59473 0.07383 2.20298 0.08784 0.32
"Gaia DR2 5290722173291771136" 9.37094 0.16760 2.57720 0.07287 2.19547 0.08636 0.41
"Gaia DR2 5290726777496558080" 9.40636 0.09618 2.55780 0.07194 2.17721 0.08330 0.20
"Gaia DR2 5290673519902401024" 9.40886 0.15351 2.55226 0.07159 2.18225 0.08533 0.28
"Gaia DR2 5290730144750808192" 9.41580 0.17286 2.54591 0.07156 2.17799 0.08556 0.40
"Gaia DR2 5290001134181211264" 9.42947 0.12274 2.54022 0.07100 2.16976 0.08140 0.17
"Gaia DR2 5290719665030852096" 9.43052 0.14620 2.53799 0.07068 2.16888 0.08191 0.23
"Gaia DR2 5290667949324010240" 9.43083 0.24414 2.53062 0.07092 2.19242 0.08968 0.83
"Gaia DR2 5290673829139963520" 9.46618 0.30478 2.50186 0.06960 2.18861 0.09515 0.77
"Gaia DR2 5290816937450497408" 9.47562 0.14902 2.50670 0.06942 2.16136 0.08381 0.21
"Gaia DR2 5290847380178313856" 9.53072 0.10177 2.47279 0.06777 2.15486 0.08515 0.20
"Gaia DR2 5290863804133456640" 9.55457 0.11861 2.45539 0.06727 2.15940 0.08719 0.17
"Gaia DR2 5291062472139045760" 9.55932 0.14417 2.45038 0.06670 2.15626 0.08710 0.16
"Gaia DR2 5290721486096996736" 9.56718 0.17484 2.44249 0.06663 2.15147 0.08905 0.27
"Gaia DR2 5290770586163654656" 9.56942 0.33479 2.42855 0.06634 2.10721 0.09790 0.76
"Gaia DR2 5290816800011540992" 9.57458 0.13777 2.44064 0.06654 2.15419 0.08863 0.16
"Gaia DR2 5290949566038905984" 9.60802 0.11102 2.42008 0.06532 2.16378 0.08178 0.19
"Gaia DR2 5290821060618951296" 9.62176 0.17211 2.40581 0.06497 2.15786 0.08340 0.21
"Gaia DR2 5290816147171750272" 9.62975 0.34419 2.38641 0.06460 2.06251 0.09411 0.78
"Gaia DR2 5290724200516244608" 9.64871 0.25533 2.38107 0.06415 2.12614 0.09013 0.73
"Gaia DR2 5290725265668145664" 9.65084 0.12901 2.38984 0.06379 2.16426 0.07493 0.16
"Gaia DR2 5291137857405153792" 9.70183 0.20094 2.34994 0.06227 2.14340 0.06798 0.30
"Gaia DR2 5290816318975199744" 9.70315 0.18236 2.35070 0.06230 2.14634 0.06738 0.20
"Gaia DR2 5289976085932146560" 9.70947 0.15736 2.34839 0.06185 2.14851 0.06636 0.14
"Gaia DR2 5290723685120164096" 9.79180 0.40070 2.27258 0.05961 1.92616 0.06901 0.77
"Gaia DR2 5290722345090384768" 9.83146 0.31076 2.25517 0.05808 2.03837 0.08613 0.83
"Gaia DR2 5290825836622877440" 9.85252 0.22024 2.25047 0.05762 2.08327 0.05155 0.26
"Gaia DR2 5290772201071458944" 9.86643 0.15167 2.24813 0.05713 2.08938 0.05016 0.16
"Gaia DR2 5290721383017776896" 9.87512 0.32941 2.22556 0.05699 2.00309 0.08873 0.87
"Gaia DR2 5290921975169123712" 9.91199 0.22409 2.21277 0.05552 2.05602 0.04782 0.23
"Gaia DR2 5290763611136930176" 9.91438 0.21576 2.21212 0.05553 2.05636 0.04777 0.19
"Gaia DR2 5290724337955116672" 9.95831 0.21624 2.18498 0.05431 2.03732 0.04759 0.16
"Gaia DR2 5290708291951869312" 9.98423 0.26465 2.16442 0.05346 2.01660 0.04776 0.39
"Gaia DR2 5290901290606131584" 10.02494 0.19888 2.14691 0.05219 2.01023 0.04867 0.12
"Gaia DR2 5290722035852820736" 10.06933 0.22209 2.11849 0.05093 1.98573 0.04885 0.12
"Gaia DR2 5290929877908984704" 10.09895 0.26783 2.09659 0.05020 1.96432 0.04632 0.28
"Gaia DR2 5290009621036840064" 10.11292 0.20696 2.09525 0.04967 1.96780 0.04774 0.13
"Gaia DR2 5290829410035301376" 10.11336 0.26664 2.08848 0.04968 1.95795 0.04593 0.26
"Gaia DR2 5290725437466835840" 10.15846 0.22378 2.06786 0.04846 1.94509 0.04587 0.12
"Gaia DR2 5290398951232592384" 10.16127 0.21563 2.06725 0.04844 1.94492 0.04618 0.13
"Gaia DR2 5290739662398290432" 10.16636 0.26666 2.05875 0.04842 1.93541 0.04454 0.20
"Gaia DR2 5290769658450722816" 10.18177 0.26615 2.05024 0.04796 1.92898 0.04389 0.18
"Gaia DR2 5290816112816893056" 10.19561 0.58465 2.00527 0.04833 1.71060 0.04342 0.73
"Gaia DR2 5290671286515026304" 10.22384 0.28803 2.02494 0.04690 1.90720 0.04116 0.25
"Gaia DR2 5289697497169250176" 10.22966 0.23470 2.02784 0.04680 1.91190 0.04273 0.12
"Gaia DR2 5291027871882168576" 10.23715 0.22745 2.02474 0.04658 1.90947 0.04264 0.13
"Gaia DR2 5290838274842249984" 10.25114 0.24258 2.01562 0.04627 1.90169 0.04166 0.12
"Gaia DR2 5290895518170546816" 10.25129 0.29373 2.00969 0.04634 1.89551 0.04072 0.25
"Gaia DR2 5290747084103123712" 10.28050 0.27639 1.99621 0.04566 1.88683 0.04022 0.14
"Gaia DR2 5291009523782112640" 10.29385 0.25156 1.99214 0.04514 1.88436 0.04038 0.12
"Gaia DR2 5290636583183684992" 10.29718 0.43734 1.96835 0.04543 1.82857 0.05931 0.90
"Gaia DR2 5290722379450124672" 10.30875 0.55855 1.94701 0.04578 1.68930 0.04343 0.82
"Gaia DR2 5291032613526130048" 10.33360 0.27963 1.96851 0.04425 1.86623 0.03939 0.12
"Gaia DR2 5290669431093618816" 10.33776 0.27067 1.96757 0.04421 1.86594 0.03965 0.11
"Gaia DR2 5290749386201860480" 10.33823 0.53349 1.93488 0.04470 1.69410 0.04947 0.88
"Gaia DR2 5289989692388398080" 10.35751 0.29435 1.95473 0.04366 1.85435 0.03894 0.14
"Gaia DR2 5290642694916327424" 10.36224 0.33758 1.94708 0.04368 1.84684 0.03891 0.36
"Gaia DR2 5290814463549522048" 10.37356 0.33111 1.94233 0.04344 1.84359 0.03875 0.30
"Gaia DR2 5291102123276830592" 10.40940 0.26026 1.93327 0.04237 1.83813 0.03885 0.15
"Gaia DR2 5290923143397680640" 10.43146 0.27843 1.92062 0.04191 1.82853 0.03879 0.12
"Gaia DR2 5290943072048101376" 10.45170 0.31379 1.90668 0.04138 1.81585 0.03846 0.12
"Gaia DR2 5290672695264349184" 10.46505 0.32695 1.89874 0.04116 1.80822 0.03827 0.15
"Gaia DR2 5290654244089553536" 10.53016 0.33441 1.86807 0.03960 1.78282 0.03777 0.12
"Gaia DR2 5290809687541511040" 10.55484 0.34831 1.85540 0.03902 1.77161 0.03827 0.14
"Gaia DR2 5290721760974905088" 10.56023 0.39961 1.84655 0.03896 1.76343 0.03849 0.41
"Gaia DR2 5290737119777616640" 10.57646 0.36933 1.84330 0.03854 1.76104 0.03811 0.20
"Gaia DR2 5289950487924058752" 10.61322 0.35780 1.82913 0.03771 1.74773 0.03685 0.12
"Gaia DR2 5291055462752429440" 10.61413 0.34549 1.83033 0.03777 1.74915 0.03677 0.10
"Gaia DR2 5289893004083666304" 10.63377 0.34936 1.82162 0.03738 1.74182 0.03641 0.10
"Gaia DR2 5290743682487671552" 10.63770 0.37156 1.81719 0.03726 1.73833 0.03619 0.13
"Gaia DR2 5290776908350801664" 10.66276 0.40332 1.80276 0.03670 1.72579 0.03506 0.25
"Gaia DR2 5290030339954374912" 10.68040 0.34168 1.80357 0.03640 1.72714 0.03595 0.14
"Gaia DR2 5290901290606134656" 10.69148 0.40607 1.79086 0.03616 1.71573 0.03418 0.21
"Gaia DR2 5290770276926009600" 10.69326 0.47986 1.78076 0.03606 1.70459 0.03357 0.65
"Gaia DR2 5289877748360039168" 10.69950 0.44016 1.78326 0.03600 1.70882 0.03327 0.40
"Gaia DR2 5290715370058746368" 10.70803 0.40609 1.78432 0.03587 1.70992 0.03354 0.18
"Gaia DR2 5290768043538081280" 10.70901 0.40155 1.78455 0.03589 1.71002 0.03357 0.16
"Gaia DR2 5290779760210781056" 10.71272 0.38230 1.78543 0.03590 1.71058 0.03373 0.10
"Gaia DR2 5290719115275116288" 10.73936 0.53240 1.75593 0.03497 1.67727 0.03992 0.82
"Gaia DR2 5290836522500952832" 10.74075 0.42340 1.76927 0.03535 1.69645 0.03226 0.22
"Gaia DR2 5290816628212850176" 10.75182 0.39805 1.76824 0.03519 1.69536 0.03224 0.11
"Gaia DR2 5290004673234138112" 10.75476 0.40025 1.76677 0.03512 1.69444 0.03214 0.11
"Gaia DR2 5291247602410155392" 10.76334 0.46175 1.75572 0.03476 1.68549 0.03150 0.41
"Gaia DR2 5291241829974083840" 10.76359 0.41227 1.76196 0.03494 1.69060 0.03161 0.13
"Gaia DR2 5289930181318610432" 10.76495 0.41165 1.76150 0.03488 1.69029 0.03160 0.13
"Gaia DR2 5290828928999061120" 10.76834 0.43096 1.75769 0.03482 1.68751 0.03084 0.21
"Gaia DR2 5290850472555175168" 10.77477 0.40901 1.75798 0.03487 1.68747 0.03091 0.11
"Gaia DR2 5290822538087854976" 10.79121 0.38606 1.75475 0.03456 1.68484 0.03103 0.12
"Gaia DR2 5290762030585055488" 10.79249 0.40064 1.75234 0.03445 1.68274 0.03127 0.10
"Gaia DR2 5290671286515023744" 10.80250 0.49445 1.73684 0.03396 1.66797 0.03421 0.53
"Gaia DR2 5290781203323379456" 10.80502 0.41568 1.74572 0.03426 1.67708 0.03197 0.11
"Gaia DR2 5290718806032777600" 10.80528 0.42654 1.74435 0.03421 1.67572 0.03216 0.13
"Gaia DR2 5290780997164946176" 10.80993 0.43198 1.74190 0.03416 1.67374 0.03211 0.15
"Gaia DR2 5289811949461425280" 10.81492 0.69134 1.70787 0.03300 1.51759 0.04534 0.85
"Gaia DR2 5290722242006786432" 10.83286 0.44454 1.73191 0.03379 1.66542 0.03326 0.17
"Gaia DR2 5290742582976042496" 10.84604 0.46608 1.72440 0.03344 1.65902 0.03413 0.27
"Gaia DR2 5290650705036608256" 10.85247 0.50495 1.71729 0.03321 1.65193 0.03518 0.50
"Gaia DR2 5290720901976984576" 10.90160 0.48448 1.70219 0.03257 1.63933 0.03570 0.26
"Gaia DR2 5290968085934209152" 10.90516 0.43914 1.70645 0.03273 1.64426 0.03519 0.10
"Gaia DR2 5289833213840076544" 10.94890 0.51153 1.68249 0.03180 1.61956 0.03562 0.33
"Gaia DR2 5290940976104125696" 10.95524 0.43625 1.68926 0.03209 1.62761 0.03608 0.13
"Gaia DR2 5290765019886216448" 10.95587 0.50944 1.68041 0.03163 1.61776 0.03588 0.31
"Gaia DR2 5290726914930519424" 10.99676 0.69281 1.64580 0.03027 1.48218 0.05968 0.89
"Gaia DR2 5290648093696480640" 11.00104 0.60964 1.65371 0.03052 1.58169 0.03663 0.78
"Gaia DR2 5290747943096587776" 11.02315 0.52146 1.65626 0.03086 1.59366 0.03390 0.24
"Gaia DR2 5290833189601524480" 11.02603 0.49277 1.65857 0.03090 1.59706 0.03466 0.11
"Gaia DR2 5290721554811929856" 11.03965 0.57555 1.64479 0.03030 1.58106 0.03202 0.56
"Gaia DR2 5290868820655092992" 11.07642 0.51831 1.63916 0.03016 1.57734 0.03183 0.14
"Gaia DR2 5290671698836255616" 11.07761 0.51152 1.63950 0.03015 1.57781 0.03201 0.12
"Gaia DR2 5290682693952246656" 11.08239 0.58228 1.63022 0.02982 1.56741 0.03074 0.52
"Gaia DR2 5290832468051992320" 11.09639 0.52317 1.63214 0.02995 1.57056 0.03144 0.13
"Gaia DR2 5290864800565868544" 11.11143 0.72878 1.60558 0.02882 1.44093 0.05596 0.87
"Gaia DR2 5290633662602127232" 11.11896 0.54959 1.62217 0.02954 1.56121 0.02995 0.23
"Gaia DR2 5290739147002207232" 11.12945 0.53728 1.61997 0.02952 1.55974 0.02982 0.15
"Gaia DR2 5290669602892315520" 11.13526 0.54583 1.61730 0.02953 1.55765 0.02998 0.18
"Gaia DR2 5290739181361937024" 11.14137 0.55631 1.61432 0.02933 1.55484 0.03011 0.22
"Gaia DR2 5290718806037481728" 11.14310 0.54833 1.61460 0.02931 1.55521 0.02994 0.18
"Gaia DR2 5290706196007797760" 11.14654 0.55163 1.61298 0.02936 1.55350 0.03046 0.19
"Gaia DR2 5290720111707457152" 11.17219 0.76400 1.58347 0.02789 1.41049 0.04546 0.84
"Gaia DR2 5291237328844633472" 11.19497 0.58320 1.59470 0.02883 1.53573 0.03021 0.29
"Gaia DR2 5291199704935161600" 11.19693 0.55073 1.59738 0.02890 1.53869 0.03062 0.13
"Gaia DR2 5290740929411321216" 11.20302 0.57307 1.59333 0.02870 1.53439 0.02995 0.21
"Gaia DR2 5290771204639131648" 11.20466 0.55158 1.59494 0.02886 1.53638 0.03052 0.12
"Gaia DR2 5290766737873019648" 11.24197 0.59935 1.57859 0.02835 1.52064 0.03032 0.30
"Gaia DR2 5290019997677687424" 11.24501 0.56176 1.58139 0.02851 1.52340 0.03061 0.12
"Gaia DR2 5291106383884588672" 11.24668 0.55711 1.58135 0.02857 1.52337 0.03060 0.12
"Gaia DR2 5290006150703319936" 11.24677 0.54716 1.58227 0.02847 1.52439 0.03061 0.12
"Gaia DR2 5290671527037564672" 11.25800 0.65786 1.56807 0.02784 1.50709 0.03434 0.66
"Gaia DR2 5290918573554531584" 11.25954 0.58127 1.57497 0.02828 1.51740 0.03050 0.16
"Gaia DR2 5290738356723303936" 11.27768 0.55990 1.57145 0.02838 1.51380 0.03083 0.12
"Gaia DR2 5291103463306757120" 11.28963 0.67279 1.55726 0.02746 1.49553 0.03514 0.70
"Gaia DR2 5290815872298718208" 11.29438 0.76257 1.54760 0.02687 1.40256 0.06157 0.85
"Gaia DR2 5291032132489758208" 11.29875 0.57849 1.56323 0.02821 1.50564 0.03010 0.12
"Gaia DR2 5289946399118750848" 11.31621 0.62395 1.55371 0.02773 1.49568 0.03100 0.31
"Gaia DR2 5290777419450772352" 11.32259 0.61975 1.55222 0.02760 1.49380 0.03082 0.27
"Gaia DR2 5290701935405663744" 11.33876 0.66777 1.54310 0.02727 1.48345 0.03429 0.58
"Gaia DR2 5291101607880805376" 11.34186 0.59690 1.54872 0.02773 1.49088 0.03026 0.14
"Gaia DR2 5289748349585460352" 11.35513 0.58710 1.54537 0.02769 1.48827 0.03046 0.12
"Gaia DR2 5289934751163440000" 11.35723 0.59321 1.54421 0.02749 1.48718 0.03080 0.12
"Gaia DR2 5290616517096896512" 11.38019 0.65179 1.53224 0.02693 1.47364 0.03096 0.39
"Gaia DR2 5289803119005929344" 11.40302 0.66533 1.52439 0.02673 1.46626 0.03170 0.44
"Gaia DR2 5290664891307297920" 11.40453 0.77547 1.51488 0.02622 1.38614 0.06531 0.85
"Gaia DR2 5290748424132935552" 11.41879 0.69526 1.51726 0.02657 1.45670 0.03579 0.62
"Gaia DR2 5290716881891963520" 11.41956 0.75069 1.51242 0.02636 1.42035 0.06277 0.84
"Gaia DR2 5290763095740848128" 11.42024 0.63587 1.52172 0.02705 1.46508 0.03091 0.20
"Gaia DR2 5290704306227620992" 11.43768 0.72428 1.50949 0.02631 1.44221 0.04382 0.76
"Gaia DR2 5290718599879047168" 11.46207 0.67622 1.50620 0.02642 1.44759 0.03128 0.40
"Gaia DR2 5290730488348194304" 11.46944 0.66836 1.50471 0.02650 1.44630 0.03129 0.33
"Gaia DR2 5291171701748700032" 11.48446 0.66070 1.50103 0.02646 1.44304 0.03057 0.25
"Gaia DR2 5290935341107132800" 11.49559 0.64800 1.49867 0.02644 1.44146 0.03027 0.17
"Gaia DR2 5290790446088863360" 11.49740 0.68174 1.49554 0.02630 1.43755 0.03162 0.38
"Gaia DR2 5290719390148237184" 11.50242 0.66848 1.49513 0.02637 1.43750 0.03128 0.27
"Gaia DR2 5290348339338231296" 11.50728 0.55243 1.50306 0.02695 1.44647 0.03071 0.29
"Gaia DR2 5290814875866306432" 11.54772 0.69393 1.48016 0.02596 1.42112 0.03225 0.38
"Gaia DR2 5290000309547500800" 11.55720 0.63138 1.48207 0.02631 1.42547 0.02941 0.15
"Gaia DR2 5290741036787805440" 11.57190 0.65810 1.47593 0.02591 1.41909 0.03030 0.14
"Gaia DR2 5290020650512718336" 11.59016 0.69431 1.46816 0.02561 1.41070 0.03198 0.30
"Gaia DR2 5289922244222398336" 11.60145 0.75638 1.46068 0.02527 1.39464 0.03934 0.72
"Gaia DR2 5290721554816473856" 11.60324 0.71861 1.46263 0.02550 1.40363 0.03322 0.46
"Gaia DR2 5290941835097576704" 11.60380 0.68102 1.46513 0.02577 1.40819 0.03165 0.20
"Gaia DR2 5290776633477524352" 11.60410 0.70039 1.46364 0.02568 1.40621 0.03171 0.32
"Gaia DR2 5290944137200387200" 11.60977 0.70312 1.46196 0.02542 1.40386 0.03218 0.33
"Gaia DR2 5290955544632800000" 11.62350 0.75013 1.45478 0.02522 1.39233 0.03738 0.65
"Gaia DR2 5290765397843334912" 11.62710 0.80251 1.45033 0.02494 1.35534 0.05750 0.84
"Gaia DR2 5290606140456026368" 11.63921 0.70977 1.45320 0.02531 1.39552 0.03231 0.33
"Gaia DR2 5290822022691634688" 11.64121 0.68009 1.45457 0.02546 1.39773 0.03122 0.16
"Gaia DR2 5290655549759621888" 11.65290 0.69259 1.45044 0.02530 1.39395 0.03143 0.20
"Gaia DR2 5291040103949259264" 11.70228 0.67869 1.43753 0.02501 1.38102 0.03323 0.14
"Gaia DR2 5291188812898066560" 11.71604 0.73998 1.42987 0.02473 1.36906 0.03623 0.42
"Gaia DR2 5290768215341699840" 11.71909 0.83829 1.42303 0.02431 1.31240 0.05502 0.84
"Gaia DR2 5290616791974803072" 11.73797 0.72672 1.42461 0.02464 1.36618 0.03480 0.29
"Gaia DR2 5290922593644422528" 11.74235 0.73489 1.42292 0.02449 1.36397 0.03631 0.34
"Gaia DR2 5290854939321026816" 11.80085 0.71678 1.40804 0.02424 1.35094 0.03392 0.17
"Gaia DR2 5290937505770739456" 11.80418 0.70366 1.40790 0.02429 1.35127 0.03332 0.14
"Gaia DR2 5290819651869671552" 11.81188 0.70942 1.40546 0.02426 1.34850 0.03333 0.15
"Gaia DR2 5291085321365182464" 11.81647 0.65236 1.40752 0.02447 1.35289 0.03193 0.25
"Gaia DR2 5290664929967787264" 11.81749 0.73751 1.40221 0.02400 1.34363 0.03432 0.25
"Gaia DR2 5289977872638551808" 11.82038 0.72319 1.40223 0.02402 1.34414 0.03408 0.17
"Gaia DR2 5290721142499618816" 11.83514 0.74612 1.39706 0.02393 1.33799 0.03498 0.28
"Gaia DR2 5290669602892315008" 11.83617 0.72378 1.39807 0.02407 1.34004 0.03424 0.17
"Gaia DR2 5289883417716710272" 11.83967 0.95518 1.38444 0.02337 1.24086 0.03452 0.71
"Gaia DR2 5290040544801035136" 11.86194 0.73438 1.39052 0.02390 1.33226 0.03456 0.18
"Gaia DR2 5289960619749942784" 11.86280 0.70495 1.39197 0.02383 1.33540 0.03255 0.15
"Gaia DR2 5290720867621791488" 11.87203 0.76179 1.38631 0.02357 1.32597 0.03594 0.33
"Gaia DR2 5290737218559327232" 11.88125 0.73773 1.38522 0.02371 1.32698 0.03438 0.18
"Gaia DR2 5290394690620893312" 11.88968 0.72376 1.38370 0.02364 1.32664 0.03302 0.15
"Gaia DR2 5290766188117237120" 11.89521 0.73658 1.38154 0.02369 1.32406 0.03308 0.17
"Gaia DR2 5290721898413863424" 11.90100 0.84377 1.37424 0.02338 1.28815 0.05177 0.81
"Gaia DR2 5290896067926369664" 11.90662 0.75243 1.37777 0.02340 1.31896 0.03489 0.22
"Gaia DR2 5290634418520265088" 11.90812 0.78884 1.37537 0.02343 1.31216 0.03833 0.48
"Gaia DR2 5290724681552584192" 11.91849 0.75803 1.37423 0.02346 1.31517 0.03435 0.24
"Gaia DR2 5290006734818801792" 11.91886 0.68771 1.37799 0.02346 1.32234 0.03157 0.22
"Gaia DR2 5290773919058477440" 11.93008 0.71142 1.37366 0.02346 1.31699 0.03245 0.17
"Gaia DR2 5291031582733905408" 11.94286 0.83520 1.36394 0.02296 1.28942 0.04454 0.74
"Gaia DR2 5290780997164946688" 11.94885 0.72127 1.36832 0.02342 1.31153 0.03251 0.15
"Gaia DR2 5290882461471091712" 11.96558 0.88739 1.35540 0.02269 1.24263 0.04772 0.87
"Gaia DR2 5290826867414904576" 11.97137 0.76027 1.36039 0.02314 1.30128 0.03311 0.20
"Gaia DR2 5290682797031462784" 11.97619 0.81632 1.35626 0.02275 1.29031 0.03820 0.58
"Gaia DR2 5290678360325641344" 11.99314 0.91707 1.34680 0.02255 1.21929 0.03815 0.85
"Gaia DR2 5290702107204358144" 11.99379 0.78330 1.35345 0.02280 1.29277 0.03411 0.31
"Gaia DR2 5290838962037067648" 12.00344 0.73037 1.35370 0.02291 1.29644 0.03145 0.16
"Gaia DR2 5290648712171776896" 12.00940 0.78373 1.34931 0.02270 1.28978 0.03325 0.29
"Gaia DR2 5290771032840440832" 12.01672 0.74470 1.34947 0.02283 1.29207 0.03144 0.15
"Gaia DR2 5290753749892394752" 12.02524 0.73657 1.34774 0.02266 1.29081 0.03123 0.15
"Gaia DR2 5290781443841554432" 12.03462 0.83267 1.34043 0.02238 1.27450 0.03710 0.61
"Gaia DR2 5290933829278574208" 12.04532 0.89674 1.33478 0.02247 1.23330 0.04601 0.86
"Gaia DR2 5290646130890161536" 12.04570 0.76654 1.34093 0.02251 1.28278 0.03229 0.17
"Gaia DR2 5290036627790843648" 12.04650 0.72983 1.34270 0.02270 1.28649 0.03073 0.18
"Gaia DR2 5289987115408111360" 12.05809 0.80855 1.33588 0.02246 1.27476 0.03310 0.40
"Gaia DR2 5290039720167307264" 12.05828 0.68332 1.34193 0.02270 1.28708 0.03027 0.28
"Gaia DR2 5291047968031896576" 12.05859 0.75407 1.33849 0.02253 1.28092 0.03086 0.15
"Gaia DR2 5290824290434649344" 12.06675 0.80695 1.33357 0.02240 1.27364 0.03221 0.38
"Gaia DR2 5289790642124240512" 12.07384 0.77740 1.33326 0.02238 1.27551 0.03107 0.19
"Gaia DR2 5290777522534884864" 12.07809 0.77949 1.33213 0.02234 1.27442 0.03118 0.19
"Gaia DR2 5290722310730727040" 12.08416 0.77624 1.33094 0.02235 1.27355 0.03082 0.17
"Gaia DR2 5289718078656029312" 12.08566 0.73697 1.33231 0.02235 1.27646 0.02997 0.18
"Gaia DR2 5290772269790935808" 12.08762 0.90272 1.32385 0.02218 1.22542 0.04348 0.87
"Gaia DR2 5289446774160819712" 12.10690 0.82744 1.32281 0.02213 1.26123 0.03291 0.47
"Gaia DR2 5290816486474806912" 12.10907 0.77516 1.32460 0.02221 1.26714 0.03133 0.16
"Gaia DR2 5290952074299736704" 12.11867 0.75131 1.32343 0.02224 1.26747 0.03041 0.16
"Gaia DR2 5290715507502414592" 12.12013 0.79988 1.32085 0.02202 1.26205 0.03107 0.25
"Gaia DR2 5290712449485868928" 12.12062 0.79564 1.32090 0.02197 1.26239 0.03084 0.23
