DR2Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia DR2 5277646295678456960" 1.448568 -1.49278 122.62468353196 -62.21163429831 "" "" "" "" "" "" 20.572162089163232 0.010582348877894148 0.8947103488198991 0.243455006241044
"Gaia DR2 5277646295678456320" 1.459764 -1.49516 122.64891345636 -62.21347779938 "" "" "" "" "" "" 21.06469790689004 0.028616549900685226 "" ""
"Gaia DR2 5277646299975456384" 1.447674 -1.498454 122.62334889309 -62.21734428932 "" "" "" "" "" "" 21.0353109534149 0.022593556677992035 "" ""
"Gaia DR2 5277646437414156800" 1.471128 -1.475841 122.67125104415 -62.19363717006 "" "" "" "" "" "" 21.121108382037704 0.024230363389113555 "" ""
"Gaia DR2 5277646334334943104" 1.464876 -1.49499 122.65984924198 -62.21306218161 "" "" "" "" "" "" 20.80981333616997 0.014391979484806045 2.3451080562578213 0.26251885378077777
"Gaia DR2 5277646364397934464" 1.480801 -1.491503 122.69359912494 -62.20880968317 "" "" "" "" "" "" 20.780347533692527 0.014774821132507547 0.6182100227200422 0.20257397376362227
"Gaia DR2 5277646364397932672" 1.479678 -1.496277 122.69169271451 -62.21363213106 "" "" "" "" "" "" 20.74695195339973 0.017818158588874106 0.855225625029405 0.44209603946401244
"Gaia DR2 5277646403052981376" 1.467455 -1.483708 122.66420218715 -62.20167028856 "" "" "" "" "" "" 20.513305333480613 0.010031462237755397 1.3579419801759016 0.22330136704832443
"Gaia DR2 5277646368695383296" 1.476327 -1.486483 122.68349167006 -62.20401327851 "" "" "" "" "" "" 20.598825436867934 0.010140607651304718 0.9925095106827264 0.1526557051335866
"Gaia DR2 5277646540492987776" 1.494048 -1.489369 122.72174791409 -62.20603279937 "" "" "" "" "" "" 20.824605444805403 0.015832963487427538 1.2086732537773237 0.27095479018850777
"Gaia DR2 5277646746652147456" 1.496934 -1.474186 122.72632283798 -62.19072846556 "" "" "" "" "" "" 20.845106880593764 0.014885080841375683 0.9094899124597404 0.2845857185224441
"Gaia DR2 5277646815371277568" 1.484526 -1.473431 122.69968235049 -62.19058078833 "" "" "" "" "" "" 21.034713327857084 0.028600403357789888 "" ""
"Gaia DR2 5288332556564960768" -0.462251 -1.49822 118.52407105935 -62.24801508317 "" "" "" "" "" "" 21.070857255161613 0.021370638010067642 "" ""
"Gaia DR2 5288332556564101760" -0.468873 -1.497581 118.50987347288 -62.2472754741 "" "" "" "" "" "" 20.8429766340242 0.013775870959014032 1.2419190912039504 0.24337868193247858
"Gaia DR2 5288332659643509632" -0.404917 -1.498099 118.64717833173 -62.24871089642 "" "" "" "" "" "" 21.025491951234784 0.020576208072966444 "" ""
"Gaia DR2 5288332762722852096" -0.392882 -1.485547 118.67336839107 -62.236317637 "" "" "" "" "" "" 20.905588024026102 0.029098870710892944 1.3393595157859224 0.3874954761673781
"Gaia DR2 5288333003240702208" -0.434529 -1.466957 118.58455561928 -62.21716380911 "" "" "" "" "" "" 21.065926984372084 0.019452390594876214 "" ""
"Gaia DR2 5288332930229395328" -0.417254 -1.476885 118.62131467233 -62.22733264752 "" "" "" "" "" "" 20.504104124134695 0.010571933039325005 0.981184975630093 0.1439858919208652
"Gaia DR2 5288333067663727232" -0.397182 -1.444593 118.66529003283 -62.19531232632 "" "" "" "" "" "" 20.884573966246897 0.020552781563055126 0.5799272865436151 0.27182534943546993
"Gaia DR2 5288333209399516672" -0.479827 -1.498213 118.48633458364 -62.24773601678 "" "" "" "" "" "" 21.240130431041038 0.02740111296953937 "" ""
"Gaia DR2 5288333205103174528" -0.475748 -1.494758 118.49520774636 -62.24434601436 "" "" "" "" "" "" 18.71022629772433 0.0062668667442990844 1.7614275479678732 0.034560451050920094
"Gaia DR2 5288333381198145152" -0.474368 -1.477986 118.49873416659 -62.2275970726 "" "" "" "" "" "" 20.950258117137768 0.03266179735492825 "" ""
"Gaia DR2 5288333415558078208" -0.467838 -1.470833 118.51298323104 -62.22054615343 "" "" "" "" "" "" 20.950258117137768 0.01716077180338301 1.598007260933855 0.17224273054626227
"Gaia DR2 5288333518637099392" -0.510462 -1.483937 118.42107701817 -62.23296419369 "" "" "" "" "" "" 21.08782101260473 0.03822042026164167 "" ""
"Gaia DR2 5288333518637376512" -0.508903 -1.469609 118.42493885982 -62.21866411527 "" "" "" "" "" "" 20.76160324069953 0.019745793263351318 1.709490083742196 0.16520855873707793
"Gaia DR2 5288333656075856384" -0.488221 -1.447339 118.4700692643 -62.19673559923 "" "" "" "" "" "" 20.90042823706711 0.03354696970061083 2.1065135235513957 0.594744912611839
"Gaia DR2 5288333724795527168" -0.441911 -1.454769 118.56910152847 -62.20487116557 "" "" "" "" "" "" 20.916651419119443 0.016497075604067553 1.4030014873988428 0.3433445686371155
