EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP prob0 probs_final
"Gaia EDR3 2210945500650803200" 0.492632 -0.499326 358.27252598526 68.12871781207 0.5941 0.1034 1.128 0.108 -0.241 0.113 18.032858 0.003034 1.998879 0.023256071765547386 0.0 0.0
"Gaia EDR3 2210945504950747648" 0.494089 -0.493943 358.27674591383 68.13406784248 0.3759 0.0726 -3.11 0.075 -1.019 0.083 17.562347 0.002904 1.792339 0.018087858998324033 0.0 0.0
"Gaia EDR3 2210945573670219520" 0.463865 -0.499137 358.19533187088 68.12950602592 0.8704 0.013 -0.766 0.014 -1.038 0.015 13.989449 0.002761 1.336549 0.0047870379244161895 0.0 0.0
"Gaia EDR3 2210945638089780224" 0.455184 -0.492974 358.17235843399 68.13584230832 0.3374 0.0727 -2.385 0.076 0.557 0.083 17.641714 0.002917 1.997055 0.0167304108284793 0.0 0.0
"Gaia EDR3 2210945642389688320" 0.464452 -0.485909 358.1976257656 68.14271977486 1.0305 0.0357 7.563 0.039 -0.022 0.041 16.363134 0.002793 1.794605 0.007261604116942239 0.0 0.0
"Gaia EDR3 2210945642389691136" 0.459461 -0.491828 358.18390220172 68.13690297732 0.534 0.0401 -0.027 0.043 -0.397 0.046 16.583792 0.002807 1.906864 0.006871330256029531 0.0 0.0
"Gaia EDR3 2210945642390899712" 0.454125 -0.494851 358.16941643498 68.13398663813 -0.4269 0.4773 -2.838 0.534 -3.549 0.51 17.13193 0.003922 1.951949 0.009174523035972378 0.0 0.0
"Gaia EDR3 2210945676749432448" 0.478028 -0.488761 358.233922893 68.13958946222 0.1251 0.0576 -1.02 0.062 -0.022 0.066 17.16602 0.002845 2.419544 0.01867851547008852 0.0 0.0
"Gaia EDR3 2210945706809282048" 0.491276 -0.481899 358.26988803067 68.14617021775 0.4963 0.0887 -0.739 0.09 -1.671 0.102 17.862595 0.002957 1.990957 0.025478107720057493 0.0 0.0
"Gaia EDR3 2210945706809296640" 0.490877 -0.478892 358.2689882444 68.14918438179 0.3245 0.1171 -3.488 0.135 0.34 0.132 18.24875 0.003069 1.950617 0.033752159970763015 0.0 0.0
"Gaia EDR3 2210945711109171968" 0.489242 -0.486717 358.26415001813 68.14139617442 0.7334 0.1074 -1.774 0.112 3.647 0.123 18.02205 0.003115 1.963814 0.024707532153480274 0.0 0.0
"Gaia EDR3 2210945741169018752" 0.483031 -0.482811 358.24769190848 68.1454332342 0.1312 0.1189 -0.01 0.141 -0.838 0.131 18.316523 0.003069 1.87554 0.03973907009881846 0.0 0.0
"Gaia EDR3 2210945741169019648" 0.472476 -0.487971 358.21905787172 68.14049453049 0.6293 0.0664 0.117 0.069 -0.608 0.074 17.394926 0.002876 1.930992 0.011918030242489993 0.0 0.0
