EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia EDR3 5644466777994472448" 0.195564 -0.252538 124.95916327486 -30.00235181879 "" "" "" "" "" "" 16.630098 0.011267 0.995077 0.0059032697735577075
"Gaia EDR3 5644467430819102080" 0.125746 -0.236571 124.87851930523 -29.98649809751 "" "" "" "" "" "" 18.150309 0.007608 0.980478 0.010903978661967158
"Gaia EDR3 5644467430829566848" 0.125797 -0.236584 124.87857838698 -29.98651079499 "" "" "" "" "" "" 18.300562 0.009479 1.033972 0.03608638660751956
"Gaia EDR3 5644467671347769344" 0.092421 -0.236399 124.84004386519 -29.98636220868 "" "" "" "" "" "" 15.299626 0.008725 1.087944 0.0052599215901302085
"Gaia EDR3 5644467808786686592" 0.127467 -0.23604 124.880505445 -29.98596445241 "" "" "" "" "" "" 17.630165 0.012409 1.268021 0.009360459898357383
"Gaia EDR3 5644467808790377856" 0.127419 -0.236023 124.88044960784 -29.98594785719 "" "" "" "" "" "" 17.645727 0.024539 1.279388 0.01598337055134342
"Gaia EDR3 5644468186743744640" 0.1503 -0.180074 124.90676927742 -29.92996649661 "" "" "" "" "" "" 16.400373 0.007355 2.145099 0.006080559766615036
"Gaia EDR3 5644468495970525184" 0.224538 -0.198314 124.99247859112 -29.94806723728 "" "" "" "" "" "" 18.232239 0.01268 2.08128 0.014533493287657838
"Gaia EDR3 5644468495981339136" 0.219009 -0.209779 124.98612674178 -29.95954473566 "" "" "" "" "" "" 17.257368 0.026383 0.8678 0.009740930036578497
"Gaia EDR3 5644468667769288192" 0.20365 -0.19643 124.96836749341 -29.9462280041 "" "" "" "" "" "" 17.197838 0.010332 0.95685 0.006835491362344497
"Gaia EDR3 5644468667783793280" 0.203604 -0.196482 124.96831472431 -29.94628022809 "" "" "" "" "" "" 17.357 0.005282 0.958536 0.012394665679230265
"Gaia EDR3 5644468702143528576" 0.217848 -0.191606 124.98474061348 -29.94137449692 "" "" "" "" "" "" 16.976597 0.003898 0.948328 0.0064762753838661135
"Gaia EDR3 5644468977017613056" 0.26838 -0.171313 125.04299241666 -29.92095808101 "" "" "" "" "" "" 18.234222 0.004021 "" ""
"Gaia EDR3 5644470282676873344" 0.185107 -0.112281 124.94678755974 -29.86211584461 "" "" "" "" "" "" 18.491589 0.011775 1.224119 0.01767137819148125
"Gaia EDR3 5644470695004974592" -0.079017 -0.371532 124.64198795962 -30.1215066182 "" "" "" "" "" "" 17.808067 0.00367 1.712437 0.02290657156378003
"Gaia EDR3 5644471244764274048" -0.041872 -0.332672 124.68495080555 -30.08266872604 "" "" "" "" "" "" 18.272137 0.010313 1.101191 0.013466602971697878
"Gaia EDR3 5644471622708148736" -0.120602 -0.361516 124.59392462478 -30.11144856954 "" "" "" "" "" "" 12.263824 0.004013 0.813834 0.005949366296460827
"Gaia EDR3 5644474715094228992" -0.031913 -0.203002 124.69650727046 -29.95300252647 "" "" "" "" "" "" 16.902716 0.009759 1.153399 0.007327904483314537
"Gaia EDR3 5644475471012100736" -0.116937 -0.277211 124.59827686317 -30.02714841307 "" "" "" "" "" "" 17.579702 0.005974 1.280977 0.011901309696584261
"Gaia EDR3 5644476123843661824" -0.188875 -0.256751 124.515232701 -30.00657857926 "" "" "" "" "" "" 15.854503 0.011369 1.132379 0.005557504997765521
"Gaia EDR3 5644476433081296640" -0.189083 -0.231165 124.51504787467 -29.98099187704 "" "" "" "" "" "" 17.618353 0.010607 "" ""
"Gaia EDR3 5644476467431275520" -0.216633 -0.221746 124.48326568524 -29.97151699177 "" "" "" "" "" "" 17.69495 0.00677 1.218042 0.019682931623486274
"Gaia EDR3 5644478975691595904" -0.068741 -0.114013 124.65407323442 -29.86399571202 "" "" "" "" "" "" 17.61984 0.011046 1.454353 0.01590863681829761
"Gaia EDR3 5644479491087383936" 0.073567 -0.201659 124.81824656749 -29.95163815995 "" "" "" "" "" "" 17.785997 0.00467 "" ""
"Gaia EDR3 5644479662900131584" 0.045214 -0.191732 124.78551813115 -29.94172818028 "" "" "" "" "" "" 15.489398 0.010012 1.255012 0.005144654142369261
"Gaia EDR3 5644480556253321984" 0.051522 -0.157903 124.79277801522 -29.90789605461 "" "" "" "" "" "" 18.088913 0.011453 1.464417 0.03431623231446786
"Gaia EDR3 5644483408097024896" 0.119226 -0.053632 124.87073891717 -29.8035670892 "" "" "" "" "" "" 15.231472 0.003422 "" ""
"Gaia EDR3 5644487668704507648" 0.078706 0.044432 124.8239540328 -29.70554292452 "" "" "" "" "" "" 17.591175 0.01222 1.480234 0.009743384180314377
"Gaia EDR3 5644488012312724864" 0.049941 0.068715 124.79082350664 -29.68127870569 "" "" "" "" "" "" 17.142363 0.004162 "" ""
"Gaia EDR3 5644490520575188864" -0.447417 -0.449869 124.21567070918 -30.19886748413 "" "" "" "" "" "" 17.394697 0.010334 1.26223 0.010872961496079409
"Gaia EDR3 5644491929324462464" -0.469629 -0.415447 124.19016014064 -30.16434318109 "" "" "" "" "" "" 16.459036 0.0116 1.198394 0.006253038969378499
"Gaia EDR3 5644497869252705408" -0.344818 -0.315187 124.33492013285 -30.06459567013 "" "" "" "" "" "" 17.530392 0.007075 0.938692 0.008902937208531619
"Gaia EDR3 5644498320236022912" -0.465128 -0.3312 124.1958226815 -30.08012015189 "" "" "" "" "" "" 16.82911 0.010489 1.142382 0.007092131460825505
