EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia EDR3 2210947291656636672" 0.393996 -0.493639 358.00804990826 68.13631007219 "" "" "" "" "" "" 17.177036 0.010551 2.710156 0.012471133551301552
"Gaia EDR3 2211054253523384576" -0.089423 -0.472947 356.70964721851 68.16021114945 "" "" "" "" "" "" 16.292608 0.012242 1.967486 0.007736815126004524
"Gaia EDR3 2211097546793312384" -0.483763 -0.495545 355.65110405236 68.13268726213 "" "" "" "" "" "" 18.365032 0.011803 2.132725 0.03898530262628951
"Gaia EDR3 2211098195330269952" -0.381464 -0.471914 355.92466647318 68.15824393985 "" "" "" "" "" "" 17.4019 0.006681 1.912291 0.010830920010407561
"Gaia EDR3 2211098199629555072" -0.381589 -0.471916 355.92432915782 68.1582392788 "" "" "" "" "" "" 17.613285 0.00746 1.980328 0.03396201931505698
"Gaia EDR3 2211102219719017856" -0.20709 -0.383754 356.39118998525 68.2486393198 "" "" "" "" "" "" 17.577982 0.004647 2.47909 0.018348834624853476
"Gaia EDR3 2211109744500393472" -0.457242 -0.421111 355.71829950742 68.20764860518 "" "" "" "" "" "" 17.865982 0.01019 1.826775 0.01714341982586161
"Gaia EDR3 2211112630713625344" -0.366512 -0.31261 355.95795834524 68.31777036728 "" "" "" "" "" "" 17.251741 0.00358 "" ""
"Gaia EDR3 2211118574953527424" -0.170638 -0.2444 356.4867242599 68.38829104122 "" "" "" "" "" "" 17.54893 0.00993 2.196745 0.01521764522974008
"Gaia EDR3 2211121216353026176" -0.125086 -0.168041 356.6092511381 68.46494528638 "" "" "" "" "" "" 17.781925 0.014849 3.490665 0.02987061723290364
"Gaia EDR3 2211121559950443392" -0.117253 -0.12587 356.62999273321 68.50715835626 "" "" "" "" "" "" 17.972464 0.012656 1.585806 0.011502875148041616
"Gaia EDR3 2211122526323404800" -0.224698 -0.168744 356.33791268851 68.46347140716 "" "" "" "" "" "" 15.186477 0.00406 "" ""
"Gaia EDR3 2211122560678821248" -0.275527 -0.187618 356.20008512111 68.44403590422 "" "" "" "" "" "" 14.251501 0.005663 1.393279 0.005224131139435893
