EDR3Name _x _y RA_ICRS DE_ICRS Plx e_Plx pmRA e_pmRA pmDE e_pmDE Gmag e_Gmag BP-RP e_BP-RP
"Gaia EDR3 5329143576347881984" 0.425923 -0.496134 131.29113318273 -47.69440910688 "" "" "" "" "" "" 17.011927 0.009088 1.236589 0.0070464393501957386
"Gaia EDR3 5329145637924141696" 0.325159 -0.492851 131.14140291055 -47.69184870407 "" "" "" "" "" "" 17.605589 0.014509 1.258472 0.010869936209198745
"Gaia EDR3 5329146531277571968" 0.425425 -0.475914 131.29014875718 -47.674193929 "" "" "" "" "" "" 17.524076 0.004149 "" ""
"Gaia EDR3 5329146668716521728" 0.435667 -0.45003 131.30503923027 -47.64822695893 "" "" "" "" "" "" 18.204498 0.004451 "" ""
"Gaia EDR3 5329146943602189568" 0.429334 -0.426237 131.29534909045 -47.6244880106 "" "" "" "" "" "" 18.475191 0.014461 1.413025 0.03648146229688588
"Gaia EDR3 5329147046680095872" 0.351391 -0.485327 131.18029788931 -47.68415495086 "" "" "" "" "" "" 13.624856 0.020384 0.611224 0.004908934780061873
"Gaia EDR3 5329147046681447552" 0.350594 -0.486711 131.17912644839 -47.68554499801 "" "" "" "" "" "" 15.349363 0.00788 0.664537 0.005236847690226261
"Gaia EDR3 5329154434025351168" 0.059162 -0.482015 130.74621665444 -47.68198729704 "" "" "" "" "" "" 18.41103 0.016481 1.448507 0.02023253002823218
"Gaia EDR3 5329156255091290368" 0.076539 -0.442194 130.77193986856 -47.64214452544 "" "" "" "" "" "" 18.488592 0.032972 "" ""
"Gaia EDR3 5329157835637869056" 0.260788 -0.4474 131.04543731699 -47.64675790031 "" "" "" "" "" "" 18.03879 0.009188 "" ""
"Gaia EDR3 5329158797710531456" 0.263942 -0.39908 131.04975814155 -47.59842243969 "" "" "" "" "" "" 17.95894 0.00799 2.13681 0.016893851834365908
"Gaia EDR3 5329158969510643584" 0.235115 -0.381165 131.00689029764 -47.58064535159 "" "" "" "" "" "" 15.800326 0.00704 1.968499 0.005901651480404515
"Gaia EDR3 5329159244380445952" 0.317222 -0.425384 131.12900503698 -47.62443161352 "" "" "" "" "" "" 16.790289 0.003556 "" ""
"Gaia EDR3 5329161202892058880" 0.327421 -0.290062 131.14288645135 -47.48905002251 "" "" "" "" "" "" 17.825771 0.014703 "" ""
"Gaia EDR3 5329162955238608512" 0.159577 -0.319064 130.89462862006 -47.51882787722 "" "" "" "" "" "" 16.084873 0.008647 1.214369 0.005802986314775477
"Gaia EDR3 5329165326060610048" 0.280405 -0.215169 131.07272013863 -47.41442948887 "" "" "" "" "" "" 18.243763 0.004131 1.391499 0.017214629662821685
"Gaia EDR3 5329165326062198400" 0.282182 -0.226205 131.07543218328 -47.42545611568 "" "" "" "" "" "" 18.339207 0.010152 1.585796 0.014518139924384334
"Gaia EDR3 5329323037258370304" -0.19455 -0.468707 130.36944614757 -47.66835249752 "" "" "" "" "" "" 18.024931 0.004607 "" ""
"Gaia EDR3 5329323724438816384" -0.140033 -0.397428 130.45068327835 -47.5972474574 "" "" "" "" "" "" 17.849188 0.012112 "" ""
"Gaia EDR3 5329323788861083008" -0.167394 -0.42002 130.41000207894 -47.61975875335 "" "" "" "" "" "" 17.668896 0.009857 2.338011 0.018299819425894075
"Gaia EDR3 5329330527663350400" -0.494305 -0.486283 129.92409913824 -47.68395892274 "" "" "" "" "" "" 16.624147 0.005579 "" ""
"Gaia EDR3 5329331592832832768" -0.399023 -0.441244 130.06613508895 -47.63973275331 "" "" "" "" "" "" 17.396553 0.010907 1.328619 0.009012424598967094
"Gaia EDR3 5329331798973879552" -0.446403 -0.481957 129.99530417468 -47.68006303571 "" "" "" "" "" "" 17.230825 0.009839 2.271607 0.032967622774177
"Gaia EDR3 5329333379544299520" -0.289708 -0.46548 130.22817013432 -47.66468551446 "" "" "" "" "" "" 18.473621 0.012476 1.471619 0.008784482727502598
"Gaia EDR3 5329333379544301056" -0.29095 -0.473152 130.22626293838 -47.67235105209 "" "" "" "" "" "" 16.770151 0.003584 1.108519 0.006917991555522614
"Gaia EDR3 5329333860575842176" -0.244544 -0.439128 130.29541369558 -47.63856406303 "" "" "" "" "" "" 18.40242 0.004049 "" ""
"Gaia EDR3 5329333894940379008" -0.262672 -0.420137 130.26865213236 -47.6194857663 "" "" "" "" "" "" 18.158613 0.010547 1.287733 0.023254553997777032
